,,0,1,2,3,4,5,6,7,8,9
800 FCGR3A+Mono,validation,0.9225200881498611,0.9049335861187224,0.9147361870735193,0.9037597828625314,0.9115910165422947,0.8785224292883603,0.9219845455991994,0.9120914798823655,0.9194376622835352,0.9126020274200058
800 FCGR3A+Mono,test,0.4132885334925799,0.43330781479900926,0.43032744805625694,0.4330216596206907,0.44133016995344454,0.4420378140604065,0.4230869924768452,0.4273637684738975,0.4343170724073249,0.4346291216566817
"600 FCGR3A+Mono, 200 B",validation,0.9475098342877023,0.9272333439389011,0.9251493867642346,0.91714703207521,0.9328738062252326,0.8699286370794043,0.9249300722195714,0.8643701508811932,0.8899916650188102,0.9234995189885784
"600 FCGR3A+Mono, 200 B",test,0.5407246152693005,0.5545926619562797,0.5687652094220953,0.6149120654453649,0.5444769675130786,0.6140548233896513,0.5591802179288721,0.5946144890029504,0.49773452953363007,0.5472545385617246
"400 FCGR3A+Mono, 400 B",validation,0.9280374389813693,0.8673508592436012,0.8963859739596293,0.8670845339160196,0.8592738487963567,0.8787401556177594,0.9013886245120123,0.8918398450655878,0.8639967677492338,0.8768930651256459
"400 FCGR3A+Mono, 400 B",test,0.3934991658675078,0.6745311500323732,0.5915121963040005,0.6500079961674321,0.6761567437551029,0.6631490285932451,0.5315270602607512,0.6712791658899435,0.421874786936285,0.6748367357938497
"200 FCGR3A+Mono, 600 B",validation,0.7755874559075058,0.7734870504368061,0.8489100925634315,0.7540599892664941,0.7315253351260697,0.7467839822170711,0.8268431042940688,0.7384967998457616,0.7527524150839418,0.7870168678052563
"200 FCGR3A+Mono, 600 B",test,0.7565561279558018,0.40750244677193437,0.3980247095749645,0.7463941836001414,0.7677281898488496,0.7745097198744396,0.47452099477567394,0.7701230211142416,0.4827697105097672,0.735035899174568
800 B,validation,0.5509520211710957,0.5025222317290129,0.571369526418159,0.5101442856752308,0.5576742991105786,0.5513967352156914,0.5748891834509677,0.4936589463943187,0.48983477808745024,0.5667589229948136
800 B,test,0.4711956338443088,0.6677005129081325,0.7938708606089062,0.5476950153630378,0.7966564267464775,0.6735809126979068,0.8053548821093921,0.5297318934769712,0.6726537939551118,0.7795202229165301
