,,0,1,2,3,4,5,6,7,8,9
original dataset,validation,0.8250463034966203,0.8177238288857946,0.859664077406391,0.8639564679933862,0.8192048240634119,0.8407782138209084,0.832479112032526,0.8413094239332423,0.8233890077488499,0.8185679180757688
original dataset,test,0.7034569262781131,0.696508096831246,0.6658964823123619,0.670189920428892,0.7112295745765775,0.7113304508310538,0.6690319225778295,0.6741969649545188,0.6823579455150024,0.7073685728481315
balance downsampling,validation,0.8244019618378962,0.8366038185043004,0.8349339473517025,0.8224845886814971,0.7949558582285992,0.821458056369734,0.8620554161817927,0.8043949708324326,0.7969224787256378,0.8084524929058227
balance downsampling,test,0.7208951886140249,0.7142384215462128,0.7269717256150895,0.7145036542414102,0.7429120697512199,0.7168844023001975,0.7274415365017066,0.746916480182752,0.7346586522283021,0.7249203482947779
balance to 600 instances,validation,0.8114453109566361,0.8063409520876725,0.8523066238720051,0.8467540572557476,0.8748861515011671,0.8740734395538161,0.788641383447183,0.8246769754820211,0.8395677745878315,0.8184158717124623
balance to 600 instances,test,0.7775054537003973,0.7834387022901477,0.707561377665699,0.7123313263033593,0.6963519145177224,0.6861625433191957,0.7627634265615405,0.7219579704921507,0.7179850250427718,0.7642713707775076
balance to 800 instances,validation,0.8201575227126944,0.8708373849832971,0.818654828744588,0.8176327234553518,0.8461597787625794,0.8199870475438575,0.8128256001402772,0.8327067811723543,0.8393892863930897,0.8418332011057682
balance to 800 instances,test,0.7273526343757108,0.6836535158032052,0.7704321661455401,0.7027425817707651,0.746690671874786,0.7354727884488392,0.7504106046564171,0.739726402903256,0.7171030172071265,0.718522013743943
balance to 1000 instances,validation,0.8608859328433842,0.8232536767295986,0.826109064688529,0.8629135135864089,0.8013964995162474,0.8637379103374748,0.8447547494156039,0.8529845109057548,0.8424263706703973,0.8143690787348291
balance to 1000 instances,test,0.7092301300884528,0.7380518732771928,0.7485261914572142,0.7086359742734362,0.7551288082013408,0.6831030727889262,0.7179155899819918,0.7005508000780756,0.7314688663286395,0.7782854493914982
balance to 1200 instances,validation,0.8344299753523574,0.8316252078830006,0.8101196722946523,0.8338762730827889,0.8584281762066082,0.8323830599992829,0.8464125476656722,0.8556554864425717,0.7911884918863381,0.8331366917896168
balance to 1200 instances,test,0.7090620055967309,0.7256285270052257,0.744978403504632,0.720437006007452,0.7019525534988047,0.7165037540505852,0.7320396570636678,0.7198589477162592,0.7942718805573722,0.7046673450617074
balance to 1600 instances,validation,0.8085176020393392,0.8096107476739336,0.8468218702717499,0.8416971642238342,0.8347354014379937,0.8099302194978839,0.8468458092170401,0.8169383753565359,0.8058195701816242,0.8220036610012748
balance to 1600 instances,test,0.7509055169311372,0.7496059436369471,0.7243553226686656,0.711224519833033,0.7608786007116315,0.7472230898596961,0.746465284086595,0.7585284953563856,0.7481415321792815,0.7641249529480709
balance to 2000 instances,validation,0.8270111583897126,0.7883886109449781,0.7912620553612904,0.7929816765883178,0.794892077460711,0.793678276139228,0.8534910520243368,0.8030206273844136,0.8159056821288633,0.8222232297928671
balance to 2000 instances,test,0.7726745066906255,0.8108893474915946,0.7780797486756733,0.7962914586710783,0.769207452708476,0.7958289765419074,0.7366762754033441,0.7916673917396847,0.7745406358249995,0.7636179780551733
balance upsampling,validation,0.7805821392105625,0.7748688171167488,0.7778220308514242,0.8421846300526818,0.7760560801629617,0.8378361555660139,0.8149789207282411,0.834575212939551,0.8225075440202684,0.8201812360535294
balance upsampling,test,0.7684641643532867,0.7824625941016611,0.7868258914499493,0.7723945981046183,0.7988944232443909,0.7485416077679347,0.7583366680754512,0.7511561661055743,0.7527064630888957,0.7578593865197276
